group,question_no,individual_thought_postits,type,comment,umbrella_term_postits
a,1,conent analysis,lived,NA,NA
a,1,storytelling diagrams? (draw and tell),lived,NA,NA
a,1,interview transcripts,lived,NA,NA
a,1,workshop (post-its),lived,NA,NA
a,1,participatory observations,imagined,NA,NA
a,1,video - creation and analysis (videographics?),imagined,NA,NA
a,1,semi-structured interviews with farmers,lived,NA,NA
a,1,workshop materials from Td processes,imagined,NA,NA
a,1,"semi-structured interviews, quotes",lived,NA,NA
a,1,oral (hi)stories (from indigenous people),lived,NA,NA
a,1,"workshop remarks, quotes",lived,NA,NA
a,1,interview data with citizen scientists,lived,NA,NA
a,1,"meeting dcoumentation, transcripts (in citizen science project)",lived,NA,NA
a,1,self-reflection portfolio on academic skills,lived,NA,NA
a,1,rubric (quantitative),lived,NA,NA
a,1,experience (qualitative),lived,NA,NA
a,1,reflection (qualitative),lived,NA,NA
a,1,"focus groups with students, teachers and course coordinators",lived,NA,NA
a,1,evaluations made by an external evaluator,lived,ghost?,NA
a,1,"documents from a graduate programe (plans, emails, study plans, etc.)",lived,ghost?,NA
a,1,video recording of teaching for talk-back interviews with students and teachers,imagined,ghost?,NA
a,1,materials produced by the external stakeholders,imagined,ghost?,NA
a,2,"""available on request""",lived,ov?,NA
a,2,publish open -> re-use in other field,lived,ov?,NA
a,2,share raw data confientially between involved researchers,lived,NA,NA
a,2,thematic analysis of +/- 200 portfolios -> We did it by hand but this is not sustainable. -> We  could share with AI,imagined,NA,NA
a,2,"I put on my manuscript that data is available upon reasonable request, knowing I would have to (extra) anonomize the whole thing, hoping no one will ask…",lived,NA,NA
a,2,"report for the broader public / citizen scientists with some quotes from the interview data -> shares knowldege and ""stamp of scientist"" approval with the citizen scientists",lived,NA,public funding = public data
a,2,a feedback session with poster format compiling results in friendly-graphic-format,imagined,NA,NA
a,2,miro or whiteboards open all the time to new inputs,imagined,NA,NA
a,2,benefit: participant can see and reflect on the data to take decisision and actions important for them,imagined,NA,NA
a,2,exchange with those that couldn't participate,imagined,refers to workshop materials from Td processes,public funding = public data
a,2,I imagine sharing the data in an excerpted version,imagined,ghost?,public funding = public data
a,2,"scientific journal SI with coding frequencies, respondent demographics and interview protocols",lived,refers to semi-structured interviews with farmers,NA
a,3,conflict of interest (misuse data),imagined,ghost?,NA
a,3,worry about quoting out of context and politication,lived,ov?,NA
a,3,confidentiality helps build trust (e.g. chatham house rules),lived,NA,NA
a,3,saying something != transfer intellectual ownership,lived,NA,so much work to collect data / others exploit
a,3,"the interview data, even without personal detais, is very specific and could easily lead to to particular persons. To really anonymize would remove valuable information",lived,NA,misuse of data
a,3,research ethics board require confidentiality  + lots of work to clean and anonymize data,lived,refers to semi-structured interviews with farmers,so much work to collect data / others exploit
a,3,confidentiality and ethics promised to the informants,imagined,ghost?,so much work to collect data / others exploit
a,3,GPDR compliance (general data protection regulation),lived,ov?,so much work to collect data / others exploit
